id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка;X0;X1;X2
1;0;5774;1077;60;76.835;2.372;155.216;4.195;1.823;151.021;1.192;17.872;8.212;5.31;19248.593;152.844;3.717;17.801;767.406;2.468;5.564;27.702;1.55;0.844;1;0;0
1;2;5771;1077;81;5.884;3.359;6.338;4.855;1.495;1.483;50.204;4.833;4.775;4.715;5205.481;2.979;4.187;5.472;0.555;-0.05;-1.129;0.745;0.154;0.023;0;1;0
1;0;5770;1077;64;83.482;1.871;128.393;3.603;1.732;124.79;1.369;20.05;8.059;4.637;21594.299;126.522;2.983;19.754;854.265;1.779;1.986;29.228;1.458;0.891;1;0;0
1;0;5756;1077;92;48.652;2.777;99.646;4.098;1.321;95.547;1.364;13.762;7.442;5.127;14821.45;96.868;3.357;20.317;294.339;1.749;2.255;17.156;1.247;0.523;1;0;0
1;0;5751;1077;76;44.135;2.842;118.81;4.145;1.303;114.665;1.123;12.001;6.643;4.941;12925.614;115.968;3.406;12.055;321.251;2.936;9.057;17.923;1.493;0.546;1;0;0
1;0;5742;1077;78;63.202;2.563;123.839;6.134;3.571;117.705;2.945;18.848;9.586;6.06;20299.385;121.276;3.482;26.556;551.518;1.705;2.222;23.484;1.246;0.716;1;0;0
1;0;5742;1077;87;65.719;2.395;126.096;5.852;3.457;120.244;2.795;18.505;9.143;5.838;19929.588;123.701;3.452;25.345;593.86;1.863;2.772;24.369;1.317;0.743;1;0;0
1;4;5734;1077;91;4.787;2.975;5.047;3.983;1.007;1.064;48.624;3.977;3.938;3.898;4283.261;2.071;3.45;4.483;0.312;0.057;-1.254;0.558;0.14;0.017;0;0;1
1;4;5734;1077;80;4.552;2.832;4.85;3.8;0.967;1.05;47.961;3.789;3.754;3.719;4080.514;2.017;3.308;4.186;0.267;0.188;-1.135;0.517;0.136;0.016;0;0;1
1;4;5734;1077;77;4.501;2.781;4.892;3.724;0.943;1.168;44.667;3.733;3.699;3.666;4020.33;2.111;3.27;4.129;0.253;0.182;-1.096;0.503;0.135;0.015;0;0;1
1;4;5734;1077;83;4.572;2.83;5.019;3.811;0.98;1.209;44.787;3.799;3.764;3.728;4091.733;2.189;3.312;4.224;0.271;0.164;-1.114;0.521;0.137;0.016;0;0;1
1;0;5713;1077;78;24.972;3.394;45.795;4.375;0.981;41.42;2.313;8.172;6.163;5.226;8800.836;42.4;3.882;8.522;60.616;2.147;4.0;7.786;0.953;0.237;1;0;0
1;0;5699;1077;72;25.588;3.527;41.153;4.814;1.287;36.339;3.42;8.212;6.458;5.579;8844.681;37.626;4.231;7.841;49.812;1.971;3.111;7.058;0.859;0.215;1;0;0
1;0;5696;1077;72;18.553;3.233;35.311;4.471;1.238;30.839;3.86;6.654;5.564;4.993;7166.868;32.078;3.902;6.295;26.427;2.461;6.227;5.141;0.773;0.157;1;0;0
1;0;5695;1077;71;29.956;3.148;72.615;4.334;1.185;68.281;1.707;8.817;6.143;5.05;9495.416;69.467;3.671;8.576;101.314;2.721;8.105;10.065;1.142;0.307;1;0;0
1;0;5666;1077;78;7.789;2.952;12.25;4.175;1.223;8.076;13.153;4.66;4.478;4.341;5018.436;9.299;3.739;4.869;2.295;2.163;4.807;1.515;0.325;0.046;1;0;0
1;0;5662;1077;86;5.068;2.898;5.52;4.108;1.21;1.412;46.146;4.117;4.063;4.009;4433.691;2.623;3.521;4.732;0.44;0.07;-1.157;0.663;0.161;0.02;1;0;0
1;0;5656;1077;105;6.58;3.143;11.877;4.496;1.353;7.382;15.487;4.717;4.621;4.538;5079.787;8.734;3.982;5.145;1.081;1.88;5.648;1.04;0.22;0.032;1;0;0
1;2;5655;1077;123;47.159;2.331;96.594;17.089;14.758;79.505;15.656;21.86;16.705;12.463;23543.246;94.263;10.56;27.786;282.11;1.686;3.117;16.796;0.768;0.512;0;1;0
1;4;5633;1077;71;46.657;2.696;93.152;4.806;2.111;88.346;2.333;14.071;8.301;5.886;15154.493;90.457;4.291;20.082;273.1;1.934;3.545;16.526;1.174;0.504;0;0;1
1;4;5633;1077;60;66.309;2.623;113.415;4.572;1.949;108.843;1.76;16.702;8.405;5.636;17988.443;110.792;4.111;17.547;514.289;1.914;2.751;22.678;1.358;0.691;0;0;1
1;0;5631;1077;81;5.399;3.116;5.933;4.358;1.242;1.574;44.102;4.408;4.359;4.31;4747.769;2.817;3.877;5.016;0.433;0.109;-1.115;0.658;0.149;0.02;1;0;0
1;0;5629;1077;87;5.773;3.318;6.243;4.696;1.378;1.547;47.108;4.744;4.685;4.625;5109.396;2.925;4.108;5.437;0.553;0.016;-1.22;0.744;0.157;0.023;1;0;0
1;2;5629;1077;127;43.149;3.74;79.704;19.886;16.147;59.817;21.256;22.838;19.606;16.632;24596.174;75.964;13.203;30.022;160.1;1.076;1.164;12.653;0.554;0.386;0;1;0
1;2;5628;1077;75;61.63;2.643;121.489;4.636;1.993;116.853;1.677;15.355;8.071;5.678;16536.888;118.846;4.176;16.043;512.906;2.592;6.367;22.647;1.475;0.69;0;1;0
1;0;5627;1077;83;5.544;3.301;5.988;4.556;1.254;1.432;46.699;4.583;4.535;4.487;4935.672;2.686;3.986;5.195;0.436;0.072;-1.238;0.66;0.144;0.02;1;0;0
1;0;5613;1077;87;5.394;3.218;5.866;4.491;1.273;1.375;48.082;4.468;4.418;4.368;4811.927;2.648;3.875;5.028;0.441;0.017;-1.191;0.664;0.149;0.02;1;0;0
1;2;5612;1077;74;5.511;3.227;5.977;4.446;1.219;1.531;44.325;4.499;4.448;4.397;4845.42;2.75;3.965;5.075;0.454;0.05;-1.034;0.673;0.15;0.021;0;1;0
