id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Мода;Частота;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка;Тест Граббса;p_value
1;0;6051;814;170;417.641;3.074;5.839;4.353;1.278;1.486;0.208;4.348;4.297;4.247;3.759;2;3539.059;2.765;3.745;4.871;0.432;0.025;-1.179;0.657;0.151;0.023;0.0;1.0
0;4;6050;814;162;404.957;3.044;5.726;4.417;1.372;1.31;-0.063;4.403;4.348;4.292;3.044;1;3584.118;2.682;3.823;5.004;0.474;-0.03;-1.122;0.689;0.156;0.024;0.0;1.0
0;4;6050;814;177;402.023;3.233;5.796;4.478;1.245;1.319;0.074;4.423;4.379;4.334;5.278;2;3600.231;2.564;3.833;4.923;0.386;-0.003;-1.172;0.621;0.14;0.022;0.0;1.0
0;2;6044;814;148;406.304;3.492;6.395;4.948;1.456;1.448;-0.008;4.938;4.883;4.827;3.945;2;4019.835;2.904;4.297;5.571;0.542;0.004;-1.155;0.736;0.149;0.026;0.0;1.0
0;4;6040;814;175;408.954;3.273;5.837;4.621;1.348;1.216;-0.131;4.633;4.588;4.543;4.349;2;3771.622;2.564;4.091;5.18;0.412;0.009;-1.065;0.642;0.139;0.023;0.0;1.0
0;4;6031;814;155;403.019;3.367;6.134;4.733;1.366;1.401;0.036;4.703;4.646;4.589;4.215;2;3828.057;2.767;4.02;5.318;0.527;0.024;-1.219;0.726;0.154;0.025;0.0;1.0
0;2;6028;814;163;396.393;3.545;6.454;5.05;1.505;1.405;-0.1;5.017;4.964;4.91;5.675;2;4083.827;2.909;4.42;5.619;0.521;-0.087;-1.065;0.722;0.144;0.025;0.0;1.0
0;0;6027;814;162;412.432;2.865;5.212;4.029;1.164;1.182;0.018;4.029;3.986;3.942;4.126;2;3279.908;2.347;3.497;4.537;0.344;-0.023;-1.17;0.586;0.146;0.021;0.0;1.0
0;2;6025;814;157;389.726;3.456;6.248;4.753;1.297;1.495;0.199;4.774;4.726;4.678;3.456;1;3885.632;2.792;4.23;5.354;0.451;0.043;-1.037;0.672;0.141;0.024;0.0;1.0
0;2;6022;814;164;400.878;2.739;4.919;3.792;1.053;1.127;0.074;3.827;3.785;3.743;3.526;2;3115.041;2.18;3.324;4.33;0.318;0.058;-1.239;0.564;0.147;0.02;0.0;1.0
1;2;6011;814;154;400.721;3.587;6.842;5.157;1.57;1.684;0.115;5.149;5.084;5.02;4.125;2;4190.943;3.254;4.439;5.807;0.657;0.093;-1.097;0.811;0.157;0.028;0.0;1.0
0;4;6007;814;169;408.024;2.886;5.399;4.125;1.24;1.274;0.034;4.103;4.054;4.004;3.438;2;3339.876;2.514;3.53;4.63;0.399;0.027;-1.159;0.632;0.154;0.022;0.0;1.0
0;0;5999;814;160;415.644;3.727;6.705;5.141;1.414;1.564;0.15;5.108;5.056;5.003;5.281;2;4157.678;2.979;4.518;5.705;0.52;-0.034;-1.079;0.721;0.141;0.025;0.0;1.0
1;0;5997;814;181;412.89;2.808;103.902;14.026;11.219;89.876;78.657;25.475;15.963;9.999;13.371;2;20736.661;101.094;6.926;38.421;560.471;1.218;0.718;23.674;0.929;0.83;0.0;1.0
0;4;5990;814;152;411.875;3.42;6.394;4.854;1.433;1.54;0.107;4.845;4.784;4.722;4.854;2;3943.96;2.973;4.205;5.471;0.584;0.008;-1.107;0.764;0.158;0.027;0.0;1.0
0;2;5981;814;161;399.286;2.745;5.28;3.939;1.193;1.341;0.147;3.94;3.895;3.851;3.557;2;3206.908;2.534;3.434;4.434;0.344;0.017;-1.143;0.587;0.149;0.021;0.0;1.0
0;4;5977;814;154;409.714;3.369;6.46;4.868;1.499;1.593;0.094;4.908;4.85;4.791;3.647;2;3994.787;3.091;4.301;5.537;0.562;0.055;-1.029;0.75;0.153;0.026;0.0;1.0
0;2;5974;814;165;405.655;3.675;6.848;5.134;1.459;1.715;0.256;5.155;5.097;5.038;4.735;2;4196.05;3.174;4.522;5.775;0.591;0.006;-1.035;0.769;0.149;0.027;0.0;1.0
0;2;5969;814;164;399.396;3.464;6.656;4.93;1.465;1.726;0.26;4.968;4.904;4.84;5.515;2;4044.183;3.191;4.309;5.625;0.631;0.1;-1.13;0.794;0.16;0.028;0.0;1.0
0;2;5957;814;168;393.792;3.646;6.637;5.062;1.416;1.575;0.159;5.053;4.993;4.933;4.982;2;4112.794;2.991;4.371;5.717;0.587;-0.051;-1.18;0.766;0.152;0.027;0.0;1.0
0;0;5957;814;152;410.362;3.073;5.88;4.362;1.289;1.518;0.229;4.352;4.294;4.236;3.521;2;3542.89;2.807;3.709;4.926;0.503;0.098;-1.122;0.709;0.163;0.025;0.0;1.0
0;2;5956;814;154;419.805;3.584;6.817;5.104;1.52;1.713;0.193;5.12;5.062;5.003;3.968;2;4167.9;3.233;4.471;5.754;0.593;0.072;-1.109;0.77;0.15;0.027;0.0;1.0
1;2;5953;814;153;413.627;2.931;5.396;4.195;1.264;1.201;-0.062;4.172;4.124;4.074;3.384;2;3396.126;2.465;3.71;4.695;0.394;-0.08;-1.006;0.628;0.151;0.022;0.0;1.0
0;4;5951;814;165;406.933;3.443;6.386;4.9;1.457;1.486;0.029;4.898;4.848;4.799;4.556;2;3986.684;2.943;4.327;5.46;0.476;-0.004;-1.048;0.69;0.141;0.024;0.0;1.0
0;0;5948;814;155;393.723;3.61;7.158;5.192;1.582;1.966;0.384;5.242;5.174;5.107;3.61;1;4267.058;3.547;4.544;5.962;0.702;0.081;-1.103;0.838;0.16;0.029;0.0;1.0
0;0;5944;814;178;401.697;3.096;5.823;4.398;1.302;1.426;0.124;4.363;4.312;4.26;3.812;2;3551.845;2.728;3.757;4.947;0.445;0.031;-1.18;0.667;0.153;0.023;0.0;1.0
0;4;5941;814;170;420.876;3.141;6.216;4.732;1.591;1.484;-0.107;4.687;4.621;4.554;3.659;2;3815.433;3.075;4.06;5.311;0.602;-0.044;-1.078;0.776;0.166;0.027;0.0;1.0
