id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка
0;0;3847;1665;266;844.759;2.344;174.373;3.724;1.38;170.649;0.802;12.749;5.851;4.369;21226.265;172.029;3.204;6.499;587.652;3.308;11.396;24.242;1.902;0.594
2;4;6023;1665;304;829.635;2.985;16.171;4.269;1.283;11.902;9.733;4.616;4.449;4.326;7685.349;13.186;3.756;5.005;2.292;3.306;14.76;1.514;0.328;0.037
2;4;4288;1665;322;823.59;2.325;15.791;3.461;1.136;12.33;8.439;3.86;3.653;3.511;6426.383;13.467;2.964;4.134;2.542;3.296;14.06;1.594;0.413;0.039
0;0;3849;1665;273;831.883;1.787;147.367;2.904;1.117;144.463;0.767;10.982;4.901;3.538;18284.649;145.58;2.533;6.31;422.841;3.296;11.727;20.563;1.872;0.504
0;0;4229;1665;310;805.671;2.736;41.175;4.728;1.992;36.447;5.183;6.079;5.119;4.624;10122.129;38.44;3.533;5.278;24.316;3.271;12.329;4.931;0.811;0.121
0;0;4334;1665;345;862.745;2.224;30.421;3.814;1.59;26.606;5.639;4.667;4.095;3.775;7771.045;28.196;3.418;4.177;10.315;3.231;12.659;3.212;0.688;0.079
1;2;6265;1665;315;829.003;2.161;151.404;3.713;1.552;147.691;1.04;11.268;5.872;4.319;18761.337;149.243;3.126;8.228;322.684;3.226;12.484;17.963;1.594;0.44
0;0;4194;1665;289;823.886;2.453;34.303;4.344;1.891;29.959;5.936;5.607;4.725;4.282;9336.101;31.85;3.367;4.818;20.82;3.191;11.272;4.563;0.814;0.112
2;4;5931;1665;322;816.634;3.08;17.821;4.646;1.567;13.175;10.628;4.92;4.75;4.619;8191.851;14.741;4.018;5.38;2.386;3.188;15.042;1.545;0.314;0.038
2;2;5123;1665;272;836.989;1.483;213.755;3.421;1.939;210.334;0.913;16.361;6.719;4.055;27241.794;212.272;2.713;15.951;797.608;3.174;11.524;28.242;1.726;0.692
